No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
3364,Morgan Amalfitano,West Ham,24,1174,3,3,1,2.62,2.62,1.0,5.84,3.06,0.2,0.2,0.08,0.28,0.28,0.45,0.23,2014
3553,Angel Di Maria,Manchester United,27,1642,3,3,10,2.93,2.93,7.3,8.84,3.15,0.16,0.16,0.4,0.56,0.56,0.48,0.17,2014
3814,Samuel Eto'o,Everton,14,765,3,3,1,2.37,2.37,1.01,4.1,2.01,0.28,0.28,0.12,0.4,0.4,0.48,0.24,2014
4396,Bobby Zamora,Queens Park Rangers,31,1779,3,3,4,2.99,2.99,6.01,9.42,3.24,0.15,0.15,0.3,0.46,0.46,0.48,0.16,2014
4427,Andreas Weimann,Aston Villa,31,1782,3,3,2,2.72,2.72,1.12,4.37,0.96,0.14,0.14,0.06,0.19,0.19,0.22,0.05,2014
492,Hector Bellerin,Arsenal,20,1564,2,2,1,0.28,0.28,1.77,6.44,5.21,0.02,0.02,0.1,0.12,0.12,0.37,0.3,2014
512,Scott Dann,Crystal Palace,34,2926,2,2,3,1.25,1.25,3.09,3.48,2.95,0.04,0.04,0.09,0.13,0.13,0.11,0.09,2014
517,Joe Ledley,Crystal Palace,32,2581,2,2,0,1.69,1.69,1.5,3.83,2.53,0.06,0.06,0.05,0.11,0.11,0.13,0.09,2014
521,Emmanuel Adebayor,Tottenham,13,811,2,2,1,2.9,2.9,1.35,5.35,1.7,0.32,0.32,0.15,0.47,0.47,0.59,0.19,2014
533,Mark Noble,West Ham,28,2321,2,1,3,2.42,0.9,3.1,8.77,7.17,0.09,0.03,0.12,0.21,0.16,0.34,0.28,2014
534,Aaron Cresswell,West Ham,38,3420,2,2,4,1.24,1.24,4.84,9.59,6.95,0.03,0.03,0.13,0.16,0.16,0.25,0.18,2014
548,Daley Blind,Manchester United,25,2174,2,2,2,1.0,1.0,1.45,9.22,7.47,0.04,0.04,0.06,0.1,0.1,0.38,0.31,2014
588,Leighton Baines,Everton,31,2775,2,0,9,2.97,0.69,6.35,9.68,6.83,0.1,0.02,0.21,0.3,0.23,0.31,0.22,2014
589,James McCarthy,Everton,28,2416,2,2,1,1.41,1.41,1.04,8.4,6.61,0.05,0.05,0.04,0.09,0.09,0.31,0.25,2014
592,Ross Barkley,Everton,29,1967,2,2,2,3.76,3.0,2.57,8.09,4.67,0.17,0.14,0.12,0.29,0.25,0.37,0.21,2014
593,Aaron Lennon,Everton,23,1345,2,2,2,1.22,1.22,2.71,5.87,2.6,0.08,0.08,0.18,0.26,0.26,0.39,0.17,2014
603,Nathaniel Clyne,Southampton,35,3148,2,2,0,0.94,0.94,2.09,8.07,5.57,0.03,0.03,0.06,0.09,0.09,0.23,0.16,2014
608,Alberto Moreno,Liverpool,28,2273,2,2,0,1.94,1.94,1.66,6.78,3.96,0.08,0.08,0.07,0.14,0.14,0.27,0.16,2014
615,Fernando,Manchester City,25,1886,2,2,2,1.68,1.68,1.58,11.18,9.97,0.08,0.08,0.08,0.16,0.16,0.53,0.48,2014
621,Aleksandar Kolarov,Manchester City,21,1483,2,2,3,1.06,1.06,1.74,6.38,5.42,0.06,0.06,0.11,0.17,0.17,0.39,0.33,2014
631,Ashley Young,Manchester United,26,2076,2,2,5,2.51,2.51,4.12,7.87,3.89,0.11,0.11,0.18,0.29,0.29,0.34,0.17,2014
633,James McArthur,Crystal Palace,32,2623,2,2,0,2.07,2.07,1.77,6.69,3.59,0.07,0.07,0.06,0.13,0.13,0.23,0.12,2014
643,Eric Dier,Tottenham,28,2288,2,2,2,1.42,1.42,1.47,8.79,7.49,0.06,0.06,0.06,0.11,0.11,0.35,0.29,2014
644,Erik Lamela,Tottenham,33,2297,2,2,7,2.45,2.45,6.1,11.23,7.29,0.1,0.1,0.24,0.34,0.34,0.44,0.29,2014
700,Willian,Chelsea,36,2439,2,2,3,4.23,4.23,5.78,17.25,9.93,0.16,0.16,0.21,0.37,0.37,0.64,0.37,2014
748,Wes Morgan,Leicester,37,3293,2,2,2,2.28,2.28,0.92,2.87,2.13,0.06,0.06,0.03,0.09,0.09,0.08,0.06,2014
753,Marc Albrighton,Leicester,18,1011,2,2,3,1.39,1.39,3.89,6.1,3.26,0.12,0.12,0.35,0.47,0.47,0.54,0.29,2014
775,Andros Townsend,Tottenham,17,767,2,1,2,1.78,1.02,0.95,2.93,1.84,0.21,0.12,0.11,0.32,0.23,0.34,0.22,2014
784,Andy King,Leicester,24,1366,2,2,0,2.06,2.06,0.13,4.11,2.85,0.14,0.14,0.01,0.14,0.14,0.27,0.19,2014
804,Craig Dawson,West Bromwich Albion,29,2593,2,2,0,1.77,1.77,0.31,3.12,2.87,0.06,0.06,0.01,0.07,0.07,0.11,0.1,2014
816,Rickie Lambert,Liverpool,25,798,2,2,2,1.84,1.84,0.84,4.12,1.73,0.21,0.21,0.1,0.3,0.3,0.46,0.19,2014
819,James Chester,Hull,23,1878,2,2,0,0.69,0.69,0.2,2.35,2.19,0.03,0.03,0.01,0.04,0.04,0.11,0.1,2014
835,Ryan Bertrand,Southampton,34,3057,2,2,2,0.98,0.98,3.74,11.75,8.78,0.03,0.03,0.11,0.14,0.14,0.35,0.26,2014
877,Samir Nasri,Manchester City,24,1596,2,2,6,2.48,2.48,4.47,12.84,8.55,0.14,0.14,0.25,0.39,0.39,0.72,0.48,2014
886,Ryan Shawcross,Stoke,32,2831,2,2,1,2.28,2.28,1.25,3.21,2.37,0.07,0.07,0.04,0.11,0.11,0.1,0.08,2014
891,Leon Osman,Everton,21,1262,2,2,2,2.72,2.72,1.54,6.01,3.73,0.19,0.19,0.11,0.3,0.3,0.43,0.27,2014
904,Chris Brunt,West Bromwich Albion,34,2901,2,2,10,2.06,2.06,5.36,6.67,4.85,0.06,0.06,0.17,0.23,0.23,0.21,0.15,2014
905,Marouane Chamakh,Crystal Palace,18,1163,2,2,0,2.01,2.01,0.68,2.58,1.09,0.16,0.16,0.05,0.21,0.21,0.2,0.08,2014
916,Yoan Gouffran,Newcastle United,31,1991,2,2,1,1.55,1.55,1.59,4.42,2.55,0.07,0.07,0.07,0.14,0.14,0.2,0.12,2014
